"Title","Artist","Year","TotalPlays"
"HERE I GO AGAIN","Whitesnake",1987,84
"IS THIS LOVE","Whitesnake",1987,7
"SLIDE IT IN","Whitesnake",1984,1
"PLAY THAT FUNKY MUSIC","Wild Cherry",1976,4
"PERSEPHONE","Wishbone Ash",1980,1
"CHANGES","Yes",1983,13
"I'VE SEEN ALL GOOD PEOPLE","Yes",1971,34
"IT CAN HAPPEN","Yes",1983,3
"LEAVE IT","Yes",1983,20
"LONG DISTANCE RUNAROUND","Yes",1972,35
"OWNER OF A LONELY HEART","Yes",1983,81
"ROUNDABOUT","Yes",1971,44
"STARSHIP TROOPER","Yes",1971,1
"YOURS IS NO DISGRACE","Yes",1971,1
"TIME OF THE SEASON","Zombies",1968,14
"ARRESTED FOR DRIVING WHILE BLIND","ZZ Top",1976,1
"BEER DRINKERS & HELL RAISERS","ZZ Top",1973,8
"CHEAP SUNGLASSES","ZZ Top",1980,34
"GIMME ALL YOUR LOVIN","ZZ Top",1983,86
"GOT ME UNDER PRESSURE","ZZ Top",1983,29
"HEARD IT ON THE X","ZZ Top",1975,2
"JESUS JUST LEFT CHICAGO","ZZ Top",1973,6
"LA GRANGE","ZZ Top",1973,111
"LEGS","ZZ Top",1983,121
"PEARL NECKLACE","ZZ Top",1981,5
"SHARP DRESSED MAN","ZZ Top",1983,120
"TUBE SNAKE BOOGIE","ZZ Top",1981,32
"TUSH","ZZ Top",1975,109
"TV DINNERS","ZZ Top",1983,1
"WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO","ZZ Top",1973,2
